 ,,Deck 1,,Deck 2,,Deck 3,,Deck 4,,Deck 5,,Deck 6,
GameNumber,Date,Deck1,Position1,Deck2,Position2,Deck3,Position3,Deck4,Position4,Deck5,Position5,Deck6,Position6
3,2024-05-20,Inkling Tokens,2,Satoru & Gyruda,2,Chichiro Equipment,1,Felix-Five Boots,2,Dino Tribal,2,,
4,2024-05-20,Samwise Lifegain,1,Roxanne Airstrike,4,Chichiro Equipment,2,Morska Clues,2,Gonti Theft,3,,
5,2024-05-21,Niv-Mizzet,3,Satoru & Gyruda,1,Chichiro Equipment,2,,,,,,
6,2024-05-21,Prime Energy,5,Felix-Five Boots,3,Chichiro Equipment,2,Niv-Mizzet,4,Niv-Mizzet Rainbow,1,,
7,2024-05-25,Kambal Tokens,1,Kwain Deep Draw,2,Chichiro Equipment,2,Gonti Theft,2,,,,
8,2024-05-25,Kambal Tokens,1,Morska Clues,2,Chichiro Equipment,3,Tombadil,3,,,,
9,2024-05-25,Kykar Polymorph,1,Gonti Theft,2,Chichiro Equipment,3,Prime Energy,2,,,,
10,2024-05-31,Niv-Mizzet,1,Gonti Theft,2,Chichiro Equipment,2,,,,,,
11,2024-05-31,Samwise Hendrik2,1,Morska Clues,2,Cats and Dogs,2,,,,,,
12,2024-05-31,Satoru & Gyruda,1,Chichiro Equipment,2,Kambal Tokens,3,,,,,,
13,2024-05-31,Roxanne Airstrike,1,Samwise Lifegain,2,Chichiro Equipment,2,Kambal Tokens,2,Gonti Theft,3,Tombadil,3
14,2024-06-10,Lorehold Assault & Battery,2,Prime Energy,1,Inkling Tokens,3,Chichiro Equipment,3,,,,
15,2024-06-10,Roxanne Airstrike,1,Chichiro Equipment,2,Prime Energy,2,,,,,,
16,2024-06-13,Morska Clues,1,Tovolar Werewolf Tribal,2,Satoru & Gyruda,3,,,,,,
17,2024-06-15,Arjun Wheel,3,Inkling Tokens,2,Tovolar Werewolf Tribal,2,Kykar Polymorph,1,,,,
18,2024-06-15,Lorehold Assault & Battery,1,Kykar Polymorph,2,Tovolar Werewolf Tribal,3,Samwise Lifegain,3,,,,
19,2024-06-21,Niv-Mizzet Rainbow,1,Samwise Lifegain,2,Kaima Goad,3,Gonti Theft,4,,,,
20,2024-06-21,Gonti Theft,1,Satoru & Gyruda,2,Kaima Goad,2,Inkling Tokens,3,,,,
21,2024-06-26,Gonti Theft,1,Tovolar Werewolf Tribal,3,Wolkendame,2,,,,,,
22,2024-06-29,Necrofall Dredge,1,Gonti Theft,2,Cats and Dogs,2,Tovolar Werewolf Tribal,3,,,,
23,2024-06-29,Lorehold Assault & Battery,1,Morska Clues,2,Z&D Landfall,2,Inkling Tokens,3,,,,
24,2024-06-29,Roxanne Airstrike,1,Arjun Wheel,2,Chichiro Equipment,2,Samwise Lifegain,2,,,,
25,2024-07-09,Necrofall Dredge,1,Tombadil,3,Kaima Goad,2,Akiri & Tymna,3,,,,
26,2024-07-09,Niv-Mizzet Rainbow,3,Kambal Tokens,2,Akiri & Tymna,2,Samwise Hendrik2,1,,,,
27,2024-07-26,Peace Offering,1,Animated Army,2,Squirreled Away,3,,,,,,
28,2024-07-26,Squirreled Away,1,Family Matters,2,Animated Army,2,,,,,,
29,2024-07-31,Prosper Cascade Burn,1,Squirreled Away,2,Peace Offering,3,Kwain Deep Draw,4,,,,
30,2024-08-09,Necrofall Dredge,3,Peace Offering,1,Kaima Goad,2,,,,,,
31,2024-08-09,Arjun Wheel,1,Kambal Tokens,3,Animated Army,2,,,,,,
32,2024-08-18,Inkling Tokens,1,Wildsear Enchantress,2,Other,3,Kykar Polymorph,4,,,,
33,2024-08-18,Chop Suey,1,Other,2,Samwise Lifegain,2,Kambal Tokens,2,,,,
34,2024-08-03,Roxanne Airstrike,1,Samwise Lifegain,2,Other,2,Other,3,,,,
35,2024-06-16,Roxanne Airstrike,3,Other,2,Other,1,,,,,,
36,2024-06-16,Roxanne Airstrike,1,Other,2,Other,2,,,,,,
37,2024-06-16,Satoru & Gyruda,2,Other,1,Other,3,,,,,,
38,2024-06-16,Lorehold Assault & Battery,1,Dino Tribal,2,Other,3,,,,,,
39,2024-08-20,Wildsear Enchantress,1,Kwain Deep Draw,2,Niv-Mizzet,4,Akiri & Tymna,3,,,,
40,2024-08-28,Satoru & Gyruda,1,Cats and Dogs,2,Akiri & Tymna,3,Wolkendame,4,,,,
41,2024-08-28,Prosper Cascade Burn,4,Chichiro Equipment,3,Ziatora Aggro,2,Samwise Lifegain,1,,,,
42,2024-09-04,Chop Suey,1,Akiri & Tymna,2,Wolkendame,3,,,,,,
43,2024-09-07,Necrofall Dredge,2,Cats and Dogs,3,Ratadrabik Legends,1,Gonti Theft,4,,,,
44,2024-09-07,Niv-Mizzet Rainbow,1,Samwise Lifegain,2,Kaima Goad,3,Animated Army,3,,,,
45,2024-09-07,Ratadrabik Legends,3,Other,1,Other,2,Other,4,,,,
46,2024-09-07,Kaima Goad,2,Other,4,Other,2,Other,1,,,,
47,2024-09-08,Kambal Tokens,3,Other,1,Other,2,Other,4,,,,
48,2024-09-10,Ratadrabik Legends,3,Chop Suey,2,Animated Army,1,,,,,,
49,2024-09-11,Gonti Theft,1,Other,2,Other,3,,,,,,
50,2024-04-14,Prosper Cascade Burn,1,Ratadrabik Legends,2,Family Matters,2,,,,,,
51,2024-04-14,Niv-Mizzet Rainbow,1,Squirreled Away,2,Ratadrabik Legends,3,,,,,,